sales_order_id,sales_order_datetime,manufacturing_start_datetime,manufacturing_completed_datetime,shipped_datetime,attempts,pass_rate
30,2018-01-07 16:04:08,2018-01-07 19:44:43,2018-01-09 07:32:14,2018-01-09 21:38:55,1,1.0
31,2018-01-07 16:30:07,2018-01-07 22:08:50,2018-01-10 06:27:00,2018-01-11 00:10:06,2,0.5
32,2018-01-07 16:32:48,2018-01-07 20:33:45,2018-01-09 08:25:40,2018-01-10 00:57:22,1,1.0
33,2018-01-07 16:55:38,2018-01-07 21:56:04,2018-01-15 04:49:34,2018-01-15 21:16:04,4,0.25
34,2018-01-07 18:05:23,2018-01-07 23:00:50,2018-01-14 17:46:15,2018-01-15 09:30:40,5,0.2
35,2018-01-07 18:50:00,2018-01-07 22:12:56,2018-01-11 04:49:41,2018-01-11 19:26:57,2,0.5
36,2018-01-07 18:50:57,2018-01-07 23:02:10,2018-01-09 01:57:05,2018-01-09 15:31:15,1,1.0
37,2018-01-07 20:00:37,2018-01-08 03:12:55,2018-01-10 05:55:37,2018-01-10 21:58:00,2,0.5
38,2018-01-07 21:20:26,2018-01-08 02:34:44,2018-01-15 11:49:52,2018-01-16 03:40:38,4,0.25
39,2018-01-07 21:42:36,2018-01-08 02:32:03,2018-01-11 00:50:02,2018-01-11 16:58:05,2,0.5
40,2018-01-07 21:51:57,2018-01-08 04:40:43,2018-01-12 19:24:58,2018-01-13 07:17:14,3,0.3333333333333333
41,2018-01-07 22:35:30,2018-01-08 03:11:43,2018-01-11 10:32:41,2018-01-12 02:13:23,2,0.5
42,2018-01-07 22:57:15,2018-01-08 03:51:45,2018-01-09 10:32:00,2018-01-10 00:54:57,1,1.0
43,2018-01-07 23:00:01,2018-01-08 04:59:27,2018-01-09 18:54:48,2018-01-10 08:09:22,1,1.0
44,2018-01-07 23:06:27,2018-01-08 03:42:24,2018-01-12 19:02:14,2018-01-13 11:29:38,3,0.3333333333333333
45,2018-01-07 23:47:06,2018-01-08 04:02:18,2018-01-10 09:09:28,2018-01-11 00:30:44,2,0.5
46,2018-01-07 23:51:19,2018-01-08 02:36:05,2018-01-11 13:49:14,2018-01-12 09:31:43,2,0.5
47,2018-01-08 00:19:38,2018-01-08 04:23:26,2018-01-09 20:53:43,2018-01-10 12:51:51,1,1.0
48,2018-01-08 00:52:38,2018-01-08 04:55:52,2018-01-12 15:24:29,2018-01-13 05:48:49,4,0.25
49,2018-01-08 00:55:45,2018-01-08 06:05:15,2018-01-11 03:14:04,2018-01-11 18:01:04,2,0.5
50,2018-01-08 01:20:08,2018-01-08 05:43:30,2018-01-09 13:59:11,2018-01-10 02:38:33,1,1.0
51,2018-01-08 02:07:23,2018-01-08 09:16:51,2018-01-11 19:29:06,2018-01-12 12:56:48,2,0.5
52,2018-01-08 02:42:50,2018-01-08 06:39:22,2018-01-09 08:35:42,2018-01-10 00:13:29,1,1.0
53,2018-01-08 03:33:26,2018-01-08 09:57:28,2018-01-10 14:46:00,2018-01-11 06:25:51,1,1.0
54,2018-01-08 03:35:13,2018-01-08 08:48:24,2018-01-09 17:22:17,2018-01-10 06:14:34,1,1.0
55,2018-01-08 03:55:33,2018-01-08 09:43:57,2018-01-13 02:06:24,2018-01-13 18:39:52,3,0.3333333333333333
56,2018-01-08 05:19:29,2018-01-08 11:04:14,2018-01-10 04:00:27,2018-01-10 17:08:12,1,1.0
57,2018-01-08 05:42:46,2018-01-08 08:29:40,2018-01-09 16:56:37,2018-01-10 06:50:08,1,1.0
58,2018-01-08 06:01:59,2018-01-08 11:01:17,2018-01-11 04:47:21,2018-01-11 20:02:24,2,0.5
59,2018-01-08 06:09:48,2018-01-08 10:54:03,2018-01-11 00:30:37,2018-01-11 14:20:54,2,0.5
60,2018-01-08 06:38:11,2018-01-08 10:30:12,2018-01-09 15:15:26,2018-01-10 04:40:21,1,1.0
61,2018-01-08 06:39:25,2018-01-08 12:06:59,2018-01-12 20:59:16,2018-01-13 11:53:15,3,0.3333333333333333
62,2018-01-08 07:45:54,2018-01-08 14:28:53,2018-01-14 01:34:52,2018-01-14 18:36:04,4,0.25
63,2018-01-08 07:47:08,2018-01-08 10:06:45,2018-01-12 06:25:18,2018-01-12 23:12:42,3,0.3333333333333333
64,2018-01-08 08:14:26,2018-01-08 12:42:21,2018-01-12 09:57:15,2018-01-13 02:22:08,3,0.3333333333333333
65,2018-01-08 08:40:17,2018-01-08 12:25:32,2018-01-10 01:00:51,2018-01-10 16:59:11,1,1.0
66,2018-01-08 09:06:31,2018-01-08 14:10:49,2018-01-09 19:24:19,2018-01-10 09:27:14,1,1.0
67,2018-01-08 09:52:32,2018-01-08 14:32:59,2018-01-12 15:04:42,2018-01-13 08:19:12,3,0.3333333333333333
68,2018-01-08 11:01:38,2018-01-08 15:25:17,2018-01-10 05:44:17,2018-01-10 17:15:58,1,1.0
69,2018-01-08 11:56:31,2018-01-08 17:37:53,2018-01-13 02:06:24,2018-01-13 17:58:27,3,0.3333333333333333
70,2018-01-08 12:05:32,2018-01-08 18:43:42,2018-01-13 10:13:32,2018-01-14 02:54:29,4,0.25
71,2018-01-08 12:07:51,2018-01-08 19:47:31,2018-01-14 09:16:48,2018-01-15 00:05:57,4,0.25
72,2018-01-08 12:30:37,2018-01-08 16:46:14,2018-01-10 04:36:46,2018-01-10 18:10:05,1,1.0
73,2018-01-08 12:42:03,2018-01-08 15:52:47,2018-01-10 06:40:55,2018-01-10 21:36:28,1,1.0
74,2018-01-08 13:14:02,2018-01-08 18:47:35,2018-01-12 11:08:47,2018-01-13 00:37:52,3,0.3333333333333333
75,2018-01-08 14:17:21,2018-01-08 20:53:58,2018-01-10 03:24:20,2018-01-10 19:26:02,1,1.0
76,2018-01-08 15:02:46,2018-01-08 20:51:35,2018-01-13 19:57:19,2018-01-14 12:50:48,4,0.25
77,2018-01-08 15:06:50,2018-01-08 21:43:12,2018-01-11 09:48:00,2018-01-12 01:41:36,2,0.5
78,2018-01-08 15:15:21,2018-01-08 20:01:49,2018-01-11 19:22:18,2018-01-12 11:08:45,2,0.5
79,2018-01-08 15:18:14,2018-01-08 19:41:39,2018-01-11 21:04:01,2018-01-12 13:35:15,2,0.5
80,2018-01-08 15:35:42,2018-01-08 20:42:37,2018-01-12 02:58:33,2018-01-12 19:43:39,2,0.5
81,2018-01-08 15:43:52,2018-01-08 20:24:02,2018-01-11 14:25:23,2018-01-12 03:51:59,2,0.5
82,2018-01-08 15:44:52,2018-01-08 21:24:39,2018-01-11 01:20:44,2018-01-11 13:16:10,2,0.5
83,2018-01-08 15:55:25,2018-01-08 21:53:36,2018-01-10 10:58:54,2018-01-11 02:32:14,1,1.0
84,2018-01-08 15:58:15,2018-01-08 22:01:08,2018-01-10 08:22:18,2018-01-11 01:13:13,1,1.0
85,2018-01-08 16:13:13,2018-01-08 21:43:51,2018-01-13 03:11:42,2018-01-13 15:01:59,3,0.3333333333333333
86,2018-01-08 16:18:45,2018-01-08 21:33:29,2018-01-12 05:25:15,2018-01-12 20:33:30,3,0.3333333333333333
87,2018-01-08 16:22:12,2018-01-08 22:09:51,2018-01-11 15:03:53,2018-01-12 08:19:17,2,0.5
88,2018-01-08 17:12:29,2018-01-08 20:14:42,2018-01-12 05:33:03,2018-01-12 20:19:04,3,0.3333333333333333
89,2018-01-08 17:54:19,2018-01-08 23:06:57,2018-01-11 23:16:56,2018-01-12 17:19:28,2,0.5
90,2018-01-08 18:12:36,2018-01-08 23:15:44,2018-01-10 06:27:28,2018-01-11 00:07:31,1,1.0
91,2018-01-08 18:27:18,2018-01-08 23:40:05,2018-01-11 13:05:55,2018-01-12 03:43:59,2,0.5
92,2018-01-08 18:48:51,2018-01-08 23:43:35,2018-01-10 00:59:14,2018-01-10 15:15:06,1,1.0
93,2018-01-08 18:52:15,2018-01-09 00:18:09,2018-01-12 06:18:46,2018-01-12 20:36:50,2,0.5
94,2018-01-08 19:04:01,2018-01-08 23:29:32,2018-01-14 07:56:54,2018-01-14 23:13:04,4,0.25
95,2018-01-08 19:06:29,2018-01-09 01:14:15,2018-01-10 11:12:13,2018-01-10 23:51:23,1,1.0
96,2018-01-08 19:24:10,2018-01-09 00:52:35,2018-01-11 11:59:30,2018-01-12 00:16:29,2,0.5
97,2018-01-08 19:46:00,2018-01-09 00:55:02,2018-01-11 02:13:23,2018-01-11 12:40:48,2,0.5
98,2018-01-08 20:25:44,2018-01-09 00:43:52,2018-01-10 07:22:53,2018-01-10 22:20:20,1,1.0
99,2018-01-08 21:25:01,2018-01-09 03:13:56,2018-01-10 10:44:26,2018-01-11 05:49:05,1,1.0
100,2018-01-08 22:05:41,2018-01-09 03:18:04,2018-01-12 01:26:22,2018-01-12 12:27:30,2,0.5
101,2018-01-08 22:17:24,2018-01-09 02:32:04,2018-01-10 10:07:53,2018-01-11 00:45:47,1,1.0
102,2018-01-08 22:42:13,2018-01-09 03:38:49,2018-01-12 20:35:45,2018-01-13 11:10:02,3,0.3333333333333333
103,2018-01-08 22:49:07,2018-01-09 04:26:51,2018-01-10 05:53:22,2018-01-10 20:35:07,1,1.0
104,2018-01-08 23:30:07,2018-01-09 05:03:12,2018-01-14 20:05:31,2018-01-15 13:36:19,4,0.25
105,2018-01-08 23:39:18,2018-01-09 05:08:31,2018-01-11 15:36:10,2018-01-12 04:49:33,2,0.5
106,2018-01-09 00:49:37,2018-01-09 05:55:10,2018-01-10 22:29:56,2018-01-11 09:36:22,1,1.0
107,2018-01-09 01:02:51,2018-01-09 07:04:23,2018-01-15 00:17:31,2018-01-15 14:13:24,4,0.25
108,2018-01-09 01:12:12,2018-01-09 07:26:28,2018-01-10 19:57:14,2018-01-11 09:37:05,1,1.0
109,2018-01-09 01:19:32,2018-01-09 07:03:46,2018-01-14 15:43:43,2018-01-15 02:16:00,4,0.25
110,2018-01-09 01:47:32,2018-01-09 06:12:17,2018-01-10 16:47:00,2018-01-11 08:16:27,1,1.0
111,2018-01-09 02:12:02,2018-01-09 06:08:32,2018-01-11 15:35:37,2018-01-12 04:13:17,2,0.5
112,2018-01-09 02:18:21,2018-01-09 06:45:42,2018-01-13 19:30:02,2018-01-14 10:20:03,4,0.25
113,2018-01-09 02:34:21,2018-01-09 09:31:34,2018-01-12 04:41:17,2018-01-12 18:57:44,2,0.5
114,2018-01-09 02:53:20,2018-01-09 08:10:14,2018-01-12 09:17:06,2018-01-12 22:08:13,2,0.5
115,2018-01-09 03:17:03,2018-01-09 10:24:38,2018-01-11 08:33:05,2018-01-12 01:19:57,2,0.5
116,2018-01-09 03:51:11,2018-01-09 08:43:58,2018-01-11 22:22:56,2018-01-12 12:49:09,2,0.5
117,2018-01-09 04:08:31,2018-01-09 08:52:59,2018-01-11 04:15:24,2018-01-11 19:21:54,1,1.0
118,2018-01-09 04:17:07,2018-01-09 09:12:40,2018-01-12 09:20:54,2018-01-13 01:31:16,2,0.5
119,2018-01-09 04:18:31,2018-01-09 09:12:59,2018-01-14 14:26:30,2018-01-15 06:01:07,3,0.3333333333333333
120,2018-01-09 04:21:42,2018-01-09 08:35:16,2018-01-11 20:47:26,2018-01-12 12:04:50,2,0.5
121,2018-01-09 04:30:26,2018-01-09 08:21:30,2018-01-10 15:24:14,2018-01-11 04:45:19,1,1.0
122,2018-01-09 04:31:02,2018-01-09 10:01:06,2018-01-14 06:03:48,2018-01-14 18:50:19,3,0.3333333333333333
123,2018-01-09 04:37:00,2018-01-09 10:40:17,2018-01-14 01:11:51,2018-01-14 16:30:47,3,0.3333333333333333
124,2018-01-09 05:35:07,2018-01-09 13:01:48,2018-01-10 22:01:26,2018-01-11 11:06:00,1,1.0
125,2018-01-09 06:27:52,2018-01-09 11:01:50,2018-01-15 00:41:42,2018-01-15 17:17:01,5,0.2
126,2018-01-09 07:06:28,2018-01-09 11:45:18,2018-01-11 03:27:20,2018-01-11 18:11:47,1,1.0
127,2018-01-09 07:08:47,2018-01-09 11:22:30,2018-01-13 09:17:04,2018-01-14 01:34:54,2,0.5
128,2018-01-09 07:23:22,2018-01-09 13:30:54,2018-01-11 15:39:52,2018-01-12 04:41:34,2,0.5
129,2018-01-09 07:43:01,2018-01-09 13:31:54,2018-01-12 23:34:42,2018-01-13 12:17:45,2,0.5
130,2018-01-09 08:10:05,2018-01-09 12:17:28,2018-01-12 02:16:15,2018-01-12 20:37:42,2,0.5
131,2018-01-09 08:12:14,2018-01-09 12:18:06,2018-01-13 11:26:22,2018-01-14 02:08:25,3,0.3333333333333333
132,2018-01-09 08:34:04,2018-01-09 14:31:13,2018-01-13 23:21:21,2018-01-14 16:10:56,3,0.3333333333333333
133,2018-01-09 09:08:54,2018-01-09 14:31:53,2018-01-11 20:36:29,2018-01-12 08:47:03,2,0.5
134,2018-01-09 09:22:29,2018-01-09 15:07:59,2018-01-13 19:02:09,2018-01-14 09:28:11,3,0.3333333333333333
135,2018-01-09 10:55:26,2018-01-09 15:02:28,2018-01-10 15:54:17,2018-01-11 09:30:33,1,1.0
136,2018-01-09 11:06:28,2018-01-09 14:13:48,2018-01-12 14:20:00,2018-01-13 02:12:14,2,0.5
137,2018-01-09 11:22:50,2018-01-09 15:30:20,2018-01-13 10:27:03,2018-01-14 06:00:05,2,0.5
138,2018-01-09 11:53:03,2018-01-09 17:34:18,2018-01-12 05:42:57,2018-01-12 21:07:15,2,0.5
139,2018-01-09 12:15:35,2018-01-09 19:22:14,2018-01-12 12:33:41,2018-01-13 01:55:24,2,0.5
140,2018-01-09 12:32:33,2018-01-09 17:06:46,2018-01-15 04:33:04,2018-01-15 20:15:18,4,0.25
141,2018-01-09 13:19:46,2018-01-09 20:36:19,2018-01-11 11:23:33,2018-01-12 04:36:38,1,1.0
142,2018-01-09 13:50:31,2018-01-09 19:40:18,2018-01-15 18:22:01,2018-01-16 07:42:56,4,0.25
143,2018-01-09 14:07:40,2018-01-09 17:44:05,2018-01-12 22:36:02,2018-01-13 12:14:11,2,0.5
144,2018-01-09 14:10:47,2018-01-09 19:23:37,2018-01-13 15:45:12,2018-01-14 07:15:05,3,0.3333333333333333
145,2018-01-09 14:49:58,2018-01-09 20:41:48,2018-01-12 20:20:40,2018-01-13 12:16:13,2,0.5
146,2018-01-09 15:28:31,2018-01-09 18:02:59,2018-01-11 00:56:48,2018-01-11 15:32:59,2,0.5
147,2018-01-09 16:10:42,2018-01-09 21:49:22,2018-01-12 23:58:40,2018-01-13 15:46:56,2,0.5
148,2018-01-09 16:35:01,2018-01-09 22:45:22,2018-01-13 07:40:26,2018-01-14 00:22:51,3,0.3333333333333333
149,2018-01-09 16:37:56,2018-01-09 22:01:51,2018-01-11 05:46:29,2018-01-11 21:07:16,1,1.0
150,2018-01-09 16:47:36,2018-01-09 21:43:53,2018-01-13 00:43:13,2018-01-13 14:20:14,2,0.5
151,2018-01-09 17:16:41,2018-01-09 22:06:18,2018-01-12 00:38:17,2018-01-12 15:35:46,2,0.5
152,2018-01-09 17:56:38,2018-01-09 22:42:45,2018-01-13 05:23:28,2018-01-13 23:54:12,2,0.5
153,2018-01-09 18:30:21,2018-01-09 22:19:47,2018-01-11 07:09:48,2018-01-11 22:49:46,1,1.0
154,2018-01-09 18:46:21,2018-01-09 23:05:05,2018-01-11 16:22:24,2018-01-12 09:51:13,1,1.0
155,2018-01-09 19:34:44,2018-01-10 00:09:44,2018-01-12 09:29:01,2018-01-12 23:27:17,2,0.5
156,2018-01-09 20:25:13,2018-01-10 01:32:01,2018-01-14 00:40:02,2018-01-14 16:11:33,4,0.25
157,2018-01-09 21:14:29,2018-01-10 01:41:04,2018-01-11 11:01:45,2018-01-12 03:37:04,1,1.0
158,2018-01-09 21:39:30,2018-01-10 01:47:21,2018-01-13 03:04:57,2018-01-13 21:04:40,2,0.5
159,2018-01-09 21:59:08,2018-01-10 03:44:43,2018-01-13 05:56:15,2018-01-13 23:23:33,2,0.5
160,2018-01-09 22:10:18,2018-01-10 03:32:32,2018-01-12 10:22:11,2018-01-12 23:07:52,2,0.5
161,2018-01-09 23:39:33,2018-01-10 04:07:11,2018-01-12 05:42:13,2018-01-12 23:00:26,2,0.5
162,2018-01-09 23:40:46,2018-01-10 05:11:08,2018-01-12 20:50:14,2018-01-13 15:12:33,2,0.5
163,2018-01-10 00:01:15,2018-01-10 04:34:03,2018-01-14 17:22:18,2018-01-15 07:13:18,3,0.3333333333333333
164,2018-01-10 01:03:47,2018-01-10 06:07:34,2018-01-14 18:06:57,2018-01-15 07:19:36,3,0.3333333333333333
165,2018-01-10 01:12:50,2018-01-10 07:11:20,2018-01-13 19:02:31,2018-01-14 09:59:35,2,0.5
166,2018-01-10 01:18:23,2018-01-10 05:42:09,2018-01-12 20:41:56,2018-01-13 12:03:28,2,0.5
167,2018-01-10 03:35:32,2018-01-10 07:25:11,2018-01-13 06:15:13,2018-01-13 20:33:12,3,0.3333333333333333
168,2018-01-10 03:49:34,2018-01-10 08:40:51,2018-01-15 08:25:23,2018-01-15 21:02:58,3,0.3333333333333333
169,2018-01-10 05:12:55,2018-01-10 08:51:06,2018-01-19 00:07:44,2018-01-19 18:04:25,6,0.16666666666666666
170,2018-01-10 05:34:40,2018-01-10 10:18:01,2018-01-14 19:20:16,2018-01-15 08:37:04,3,0.3333333333333333
171,2018-01-10 05:47:17,2018-01-10 10:30:26,2018-01-15 03:20:31,2018-01-15 17:19:41,3,0.3333333333333333
172,2018-01-10 05:53:07,2018-01-10 08:25:17,2018-01-15 09:14:26,2018-01-16 00:27:31,3,0.3333333333333333
173,2018-01-10 05:53:53,2018-01-10 11:25:43,2018-01-14 15:33:30,2018-01-15 03:36:48,3,0.3333333333333333
174,2018-01-10 06:06:37,2018-01-10 10:55:39,2018-01-17 02:09:09,2018-01-17 14:03:16,4,0.25
175,2018-01-10 06:14:09,2018-01-10 12:25:03,2018-01-13 13:20:11,2018-01-14 03:28:22,2,0.5
176,2018-01-10 06:17:45,2018-01-10 11:30:40,2018-01-14 05:28:09,2018-01-14 22:07:13,3,0.3333333333333333
177,2018-01-10 06:43:05,2018-01-10 12:27:13,2018-01-11 20:42:12,2018-01-12 12:04:45,1,1.0
178,2018-01-10 06:45:53,2018-01-10 12:57:17,2018-01-19 17:47:21,2018-01-20 04:40:13,6,0.16666666666666666
179,2018-01-10 07:17:48,2018-01-10 12:09:53,2018-01-12 23:33:58,2018-01-13 17:20:42,2,0.5
180,2018-01-10 07:18:29,2018-01-10 12:18:26,2018-01-15 07:03:41,2018-01-15 23:39:22,3,0.3333333333333333
181,2018-01-10 07:26:51,2018-01-10 10:52:26,2018-01-13 07:34:10,2018-01-13 22:57:05,2,0.5
182,2018-01-10 08:01:34,2018-01-10 14:15:56,2018-01-12 01:48:39,2018-01-12 17:08:21,1,1.0
183,2018-01-10 09:33:55,2018-01-10 14:25:10,2018-01-12 07:38:25,2018-01-12 23:59:13,1,1.0
184,2018-01-10 10:16:03,2018-01-10 14:15:42,2018-01-12 01:40:22,2018-01-12 21:19:31,1,1.0
185,2018-01-10 10:34:53,2018-01-10 16:19:16,2018-01-12 02:12:13,2018-01-12 18:57:52,1,1.0
186,2018-01-10 10:38:13,2018-01-10 13:27:25,2018-01-13 07:34:17,2018-01-13 23:09:49,2,0.5
187,2018-01-10 10:42:20,2018-01-10 15:16:34,2018-01-12 00:03:15,2018-01-12 12:35:59,1,1.0
188,2018-01-10 10:45:06,2018-01-10 16:39:35,2018-01-15 02:10:53,2018-01-15 17:30:37,3,0.3333333333333333
189,2018-01-10 10:49:37,2018-01-10 15:23:21,2018-01-15 17:48:41,2018-01-16 10:21:28,3,0.3333333333333333
190,2018-01-10 10:54:38,2018-01-10 15:11:33,2018-01-13 03:38:03,2018-01-13 18:24:13,2,0.5
191,2018-01-10 11:29:43,2018-01-10 16:04:44,2018-01-14 09:31:28,2018-01-14 23:28:43,3,0.3333333333333333
192,2018-01-10 11:48:48,2018-01-10 14:48:12,2018-01-13 23:34:44,2018-01-14 15:41:10,2,0.5
193,2018-01-10 12:43:03,2018-01-10 18:25:58,2018-01-12 00:53:53,2018-01-12 13:55:18,1,1.0
194,2018-01-10 12:53:39,2018-01-10 17:46:16,2018-01-13 15:05:15,2018-01-14 07:49:24,2,0.5
195,2018-01-10 13:01:53,2018-01-10 17:45:32,2018-01-13 06:24:53,2018-01-13 20:32:36,2,0.5
196,2018-01-10 13:08:58,2018-01-10 17:52:50,2018-01-12 18:52:35,2018-01-13 05:37:53,2,0.5
197,2018-01-10 14:16:59,2018-01-10 19:17:49,2018-01-13 16:25:18,2018-01-14 06:30:43,2,0.5
198,2018-01-10 14:27:02,2018-01-10 20:06:14,2018-01-14 03:03:30,2018-01-14 17:56:38,2,0.5
199,2018-01-10 14:42:27,2018-01-10 19:39:19,2018-01-12 04:49:21,2018-01-12 20:55:38,1,1.0
200,2018-01-10 14:55:33,2018-01-10 18:33:51,2018-01-13 23:14:20,2018-01-14 15:06:46,3,0.3333333333333333
201,2018-01-10 14:59:43,2018-01-10 20:34:14,2018-01-13 16:44:23,2018-01-14 05:09:31,2,0.5
202,2018-01-10 15:52:24,2018-01-10 21:22:18,2018-01-13 08:16:04,2018-01-13 23:30:43,2,0.5
203,2018-01-10 16:08:05,2018-01-10 21:20:24,2018-01-12 12:15:32,2018-01-13 02:11:27,2,0.5
204,2018-01-10 16:55:30,2018-01-10 23:00:00,2018-01-16 11:15:57,2018-01-17 01:32:43,4,0.25
205,2018-01-10 18:19:44,2018-01-10 23:21:33,2018-01-13 23:54:31,2018-01-14 12:54:43,2,0.5
206,2018-01-10 18:26:07,2018-01-11 00:32:47,2018-01-17 15:47:47,2018-01-18 06:41:40,4,0.25
207,2018-01-10 18:28:56,2018-01-11 00:53:21,2018-01-19 23:28:22,2018-01-20 20:44:15,5,0.2
208,2018-01-10 18:45:34,2018-01-11 00:20:30,2018-01-12 13:19:50,2018-01-13 08:02:36,1,1.0
209,2018-01-10 18:52:45,2018-01-10 23:07:52,2018-01-14 04:08:20,2018-01-14 17:08:29,2,0.5
210,2018-01-10 19:22:02,2018-01-11 00:14:11,2018-01-13 05:27:57,2018-01-13 20:35:51,2,0.5
211,2018-01-10 19:53:01,2018-01-11 02:07:20,2018-01-18 02:53:39,2018-01-18 17:15:58,4,0.25
212,2018-01-10 21:25:42,2018-01-11 00:55:50,2018-01-14 09:30:59,2018-01-15 00:48:01,2,0.5
213,2018-01-10 22:16:37,2018-01-11 02:53:05,2018-01-15 01:28:53,2018-01-15 18:18:50,3,0.3333333333333333
214,2018-01-10 22:22:40,2018-01-11 03:02:05,2018-01-17 07:38:58,2018-01-17 22:23:26,4,0.25
215,2018-01-10 22:39:56,2018-01-11 02:48:01,2018-01-15 16:38:37,2018-01-16 06:13:08,3,0.3333333333333333
216,2018-01-10 22:57:41,2018-01-11 04:50:03,2018-01-12 22:12:52,2018-01-13 15:31:38,1,1.0
217,2018-01-10 22:58:54,2018-01-11 04:21:30,2018-01-13 21:44:18,2018-01-14 10:16:12,2,0.5
218,2018-01-10 23:19:32,2018-01-11 03:36:52,2018-01-12 09:06:52,2018-01-13 00:29:34,1,1.0
219,2018-01-10 23:34:25,2018-01-11 05:10:44,2018-01-15 01:47:58,2018-01-15 13:49:38,3,0.3333333333333333
220,2018-01-10 23:37:14,2018-01-11 04:27:43,2018-01-12 18:46:07,2018-01-13 07:42:59,1,1.0
221,2018-01-10 23:54:58,2018-01-11 04:01:33,2018-01-13 02:26:41,2018-01-13 18:56:03,2,0.5
222,2018-01-11 00:52:47,2018-01-11 05:10:00,2018-01-13 09:28:25,2018-01-13 23:06:53,3,0.3333333333333333
223,2018-01-11 01:04:02,2018-01-11 06:30:11,2018-01-12 20:47:46,2018-01-13 08:02:34,1,1.0
224,2018-01-11 01:13:07,2018-01-11 07:09:27,2018-01-12 18:07:49,2018-01-13 07:41:05,1,1.0
225,2018-01-11 01:28:43,2018-01-11 05:59:30,2018-01-12 15:35:26,2018-01-13 04:55:51,1,1.0
226,2018-01-11 01:29:46,2018-01-11 07:02:25,2018-01-12 09:32:33,2018-01-12 22:01:03,1,1.0
227,2018-01-11 01:30:03,2018-01-11 08:04:57,2018-01-13 08:45:08,2018-01-14 00:51:08,2,0.5
